#1
double table1(288,2)   # comment line
      0.1          296.95
      3600.0          297.35
      7200.0          297.85
      10800.0          297.45
      14400.0          297.15
      18000.0          296.95
      21600.0          297.65
      25200.0          297.65
      28800.0          298.35
      32400.0          299.25
      36000.0          297.65
      39600.0          297.45
      43200.0          297.65
      46800.0          297.85
      50400.0          298.05
      54000.0          295.35
      57600.0          295.35
      61200.0          296.55
      64800.0          297.85
      68400.0          298.25
      72000.0          297.75
      75600.0          297.55
      79200.0          298.35
      82800.0          298.35
      86400.0          299.05
      90000.0          299.05
      93600.0          299.05
      97200.0          299.05
      100800.0          299.05
      104400.0          298.55
      108000.0          298.35
      111600.0          299.15
      115200.0          298.95
      118800.0          299.05
      122400.0          298.95
      126000.0          297.65
      129600.0          299.25
      133200.0          298.15
      136800.0          297.35
      140400.0          297.35
      144000.0          298.45
      147600.0          298.25
      151200.0          298.75
      154800.0          298.05
      158400.0          298.45
      162000.0          298.85
      165600.0          298.45
      169200.0          298.45
      172800.0          297.25
      176400.0          297.05
      180000.0          297.25
      183600.0          297.65
      187200.0          297.25
      190800.0          297.15
      194400.0          297.25
      198000.0          296.55
      201600.0          298.05
      205200.0          297.55
      208800.0          298.05
      212400.0          297.85
      216000.0          298.65
      219600.0          298.85
      223200.0          298.15
      226800.0          297.55
      230400.0          297.75
      234000.0          297.75
      237600.0          297.55
      241200.0          297.55
      244800.0          297.95
      248400.0          297.65
      252000.0          297.75
      255600.0          297.65
      259200.0          294.25
      262800.0          294.65
      266400.0          294.65
      270000.0          294.45
      273600.0          294.75
      277200.0          294.45
      280800.0          294.85
      284400.0          295.65
      288000.0          296.85
      291600.0          296.55
      295200.0          296.05
      298800.0          296.85
      302400.0          296.65
      306000.0          296.55
      309600.0          296.65
      313200.0          296.35
      316800.0          296.05
      320400.0          295.55
      324000.0          295.05
      327600.0          295.05
      331200.0          295.35
      334800.0          295.65
      338400.0          295.55
      342000.0          295.85
      345600.0          285.75
      349200.0          285.25
      352800.0          284.45
      356400.0          283.85
      360000.0          283.85
      363600.0          283.35
      367200.0          283.05
      370800.0          282.85
      374400.0          282.55
      378000.0          283.35
      381600.0          284.65
      385200.0          285.65
      388800.0          287.15
      392400.0          288.65
      396000.0          290.05
      399600.0          290.85
      403200.0          290.25
      406800.0          289.75
      410400.0          289.55
      414000.0          289.35
      417600.0          288.85
      421200.0          288.55
      424800.0          288.65
      428400.0          288.45
      432000.0          291.05
      435600.0          290.85
      439200.0          290.35
      442800.0          290.15
      446400.0          290.15
      450000.0          289.85
      453600.0          289.85
      457200.0          291.15
      460800.0          292.85
      464400.0          293.55
      468000.0          294.85
      471600.0          294.85
      475200.0          294.35
      478800.0          294.15
      482400.0          293.95
      486000.0          294.15
      489600.0          293.55
      493200.0          293.55
      496800.0          293.85
      500400.0          293.65
      504000.0          293.45
      507600.0          293.45
      511200.0          292.95
      514800.0          292.85
      518400.0          295.15
      522000.0          295.15
      525600.0          295.15
      529200.0          294.65
      532800.0          294.25
      536400.0          293.95
      540000.0          294.05
      543600.0          294.25
      547200.0          294.05
      550800.0          294.95
      554400.0          296.05
      558000.0          296.55
      561600.0          296.75
      565200.0          296.55
      568800.0          296.25
      572400.0          296.35
      576000.0          296.55
      579600.0          296.15
      583200.0          296.15
      586800.0          296.15
      590400.0          295.85
      594000.0          296.85
      597600.0          296.85
      601200.0          295.85
      604800.0          293.15
      608400.0          293.15
      612000.0          293.05
      615600.0          292.85
      619200.0          292.45
      622800.0          292.85
      626400.0          292.85
      630000.0          292.65
      633600.0          292.95
      637200.0          292.85
      640800.0          292.85
      644400.0          292.75
      648000.0          292.45
      651600.0          292.45
      655200.0          292.45
      658800.0          292.75
      662400.0          293.45
      666000.0          293.45
      669600.0          293.85
      673200.0          294.75
      676800.0          294.95
      680400.0          295.15
      684000.0          294.45
      687600.0          293.75
      691200.0          290.05
      694800.0          289.75
      698400.0          289.85
      702000.0          289.55
      705600.0          288.85
      709200.0          289.65
      712800.0          289.35
      716400.0          291.55
      720000.0          291.55
      723600.0          291.65
      727200.0          292.35
      730800.0          291.95
      734400.0          291.75
      738000.0          292.35
      741600.0          292.85
      745200.0          292.15
      748800.0          291.35
      752400.0          291.85
      756000.0          291.35
      759600.0          291.15
      763200.0          291.25
      766800.0          291.25
      770400.0          290.85
      774000.0          291.85
      777600.0          295.55
      781200.0          295.55
      784800.0          295.85
      788400.0          295.55
      792000.0          295.55
      795600.0          295.65
      799200.0          294.95
      802800.0          295.15
      806400.0          294.95
      810000.0          295.65
      813600.0          296.15
      817200.0          296.35
      820800.0          296.35
      824400.0          296.05
      828000.0          296.35
      831600.0          296.85
      835200.0          295.55
      838800.0          296.75
      842400.0          297.05
      846000.0          296.15
      849600.0          296.35
      853200.0          295.85
      856800.0          296.35
      860400.0          296.05
      864000.0          296.25
      867600.0          295.85
      871200.0          295.55
      874800.0          295.55
      878400.0          295.65
      882000.0          295.35
      885600.0          295.65
      889200.0          295.85
      892800.0          295.55
      896400.0          295.85
      900000.0          295.65
      903600.0          295.65
      907200.0          296.05
      910800.0          294.95
      914400.0          294.75
      918000.0          294.35
      921600.0          294.25
      925200.0          294.55
      928800.0          293.75
      932400.0          294.85
      936000.0          294.55
      939600.0          294.15
      943200.0          294.35
      946800.0          294.35
      950400.0          296.25
      954000.0          296.55
      957600.0          296.25
      961200.0          295.85
      964800.0          296.05
      968400.0          295.65
      972000.0          296.35
      975600.0          296.95
      979200.0          297.05
      982800.0          296.85
      986400.0          297.35
      990000.0          297.85
      993600.0          297.75
      997200.0          297.85
      1000800.0          297.25
      1004400.0          297.25
      1008000.0          295.15
      1011600.0          294.45
      1015200.0          294.55
      1018800.0          294.05
      1022400.0          294.55
      1026000.0          294.25
      1029600.0          294.75
      1033200.0          294.75
